URL,Preferred,Mall,Product Name,Main Category,Sub Category 1,Sub Category 2,Current Rating,Total Rating,Total Sold,Favorite,Start Price Range,Start Discount Range,End Price Range,End Discount Range,Discount Percentage,Free Shipping,Free Shipping Info,Shipping Location,Start Shipping Price Range,End Shipping Price Range,Brand Name,Store Name,Store Ratings,Store Products Count,Store Response Rate,Store Response Time,Store Joined,Store Followers,Shipping From,Vouchers Available,Bundle Details,Coins Available,Product Variation List,Lowest Price Guarantee,Whole Sale,Five Star,Four Star,Three Star,Two Star,One Star,With Comments,With Media,Description
https://shopee.ph/PORTABLE-5-BLADES-CLIP-FAN(COD)-i.47190953.7647826964,0,0,PORTABLE 5 BLADES CLIP FAN(COD),Home Appliances,Cooling & Heating,Personal Fan,4.9,"1,400","6,500",,120,0,,,0,0,,"Metro Manila, Metro Manila",40,48,No Brand,kimqiu,,,53,within hours,35 months ago,,"Laguna, South Luzon",0,0,0,"red,black,Pink,Blue",0,0,"1,300",,20,4,13,,,"DESCRIPTION: * 100% Brand new and Good Quality* Soft blades, won't hurt when accidentally touched compact and portable* Bale size: 11 cm* Material: Plastic* Table clip* Voltage: 220V* Key Specifications:- Energy efficient- Whisper quiet operation- Sleek, space saving design- Light weight"
https://shopee.ph/Humidifier-large-capacity-ultrasonic-air-humidifier-i.50096002.2380713092,1,0,Humidifier large capacity ultrasonic air humidifier,Home Appliances,Humidifiers & Air Purifiers,Humidifier,4.7,"12,200","30,100","8,200",560,"1,120",,,50,0,,"Metro Manila, Metro Manila",8,,No Brand,zdhf.ph,"44,100",,81,within hours,34 months ago,"12,900","Metro Manila, Metro Manila",0,0,0,"1336Blue,1336purple,1336Green,1336Pink,1336White,Pink enhancement,Green enhancement,Blue enhancement,White enhancement",0,0,"10,300",,287,113,360,"4,500","3,500","Large capacity ultrasonic wave humidifier*Release a large number of negative ions*High efficiency air purification*Improve air quality*Care for healthTechnical SpecificationType of humidifier: Ultrasonic cool mistPower consumption: 220V~240V,50Hz-60Hz,27WattCapacity of tank: 1Gallon / BLliterRunning time per tank: 11 hoursOutput per 24 hours 2.1 Gallon/BLliterSuitable room size:approx.500sq.ft/48m2Large capacity ultrasonic wave humidifier"
https://shopee.ph/oil-humidifier-scent-10ml-i.50103643.1304908019,0,0,oil humidifier scent 10ml,Home Appliances,Humidifiers & Air Purifiers,Humidifier,4.7,,"48,800","3,300",39,40,,,3,0,,"Metro Manila, Metro Manila",0,,No Brand,cnfx.ph,"20,400",,42,within hours,34 months ago,"6,500","Metro Manila, Metro Manila",0,0,0,"eucalyptus,peach,Lily,rose,violet,Lavender,strawberry,bamboo,Sakura,lemon,Jasmlne,ocaen,mint,Michelia,Citronella,Green tea,Sandalwood,orange,Eucalyptus &mint,Tea plant",1,1,"3,400",,224,83,127,"1,200",,humidifier scent 10mlHumidifier Made with 100% pure essential oils Non-toxic and alcohol free Antifungal and Antibacterial Removes Odors and Smokes 99.99% effectiveness lab tested and proven
https://shopee.ph/Double-Thread-Mini-Electric-Sewing-Machine-i.28993584.1086283220,0,0,Double Thread Mini Electric Sewing Machine,Home Appliances,Garment Care,Table-Top Sewing Machine,4.6,"4,400","9,500","2,800",295,799,,,63,0,,"Metro Manila, Metro Manila",5,,No Brand,movall,"185,900",,61,within minutes,3 years ago,"139,500","Metro Manila, Metro Manila",1,0,0,,1,1,"3,100",,145,80,213,"1,600",,Comes pre threaded and ready to useSews in durable chain lock stitchAc/Dc AdaptorFoot pedal for easy controlTwo speed operationLightweight and very portableInexpensiveEasy to stitch for beginnersPerfect for simple or smaller tasks#sewingmachine #sewing #machine  #legitseller #phseller #certifiedseller #importer #distrubutor #FreeShippingShopee  #cashondelivery #sale #freeshipping
https://shopee.ph/Fragrant-Essential-Oil-i.127231793.2129577052,0,0,Fragrant Essential Oil,Home Appliances,Humidifiers & Air Purifiers,Humidifier Oils,4.8,,"6,500",,36,0,,,0,0,,"Metro Manila, Metro Manila",0,5,No Brand,changweiph,"7,300",,44,within hours,21 months ago,"1,900","Metro Manila, Metro Manila",0,0,0,"Sakura,Jasmine,Lily,Citronella,Rose,Green Tea,Lavender,Violet,Mint,Eucalyptus,Ocean,Lemon,Bamboo,Strawberry,Sandalwood,Peach,Michelia,Orange,Mint & Eucalyptus,Tea Plant",0,0,,,30,7,17,,,17 flavors to select I.eucalyptus 2.bamboo 3. lavender 4.citronilIa 5.strawberry 6.mint 7.ocean 8.Lemon#cod
https://shopee.ph/FIREFLY-Rechargeable-Fan-W-Night-Light-7in.-FEL-654-i.241101403.7348720023,0,1,FIREFLY Rechargeable Fan W/ Night Light 7in. FEL-654,Home Appliances,Cooling & Heating,Personal Fan,4.9,"1,800","4,400","1,100",499,"1,000",,,50,0,,"Metro Manila, Metro Manila",10,,Firefly,acehardwareofficial,"2,900",,96,within hours,7 months ago,,"Metro Manila, Metro Manila",0,0,1,,0,0,"1,700",,12,4,12,,,This rechargeable fan comes handy during emergencies or just keeping extra cool on hot summer days. Includes USB charging cableMade of plastic Overchange and overdischarge protection Flame retardant 33-speed controlLightweightCharging time: 4 hoursWorks on AC power supply using good quality mobile chargersPower: 10W Battery type: 3.7V 1.8AHLithium-Ion batteryLamp: 6 pieces SMD LED
https://shopee.ph/Movall-2L-Scarlett-Stainless-Steel-Electric-Kettle-i.28993584.648339609,0,0,Movall 2L Scarlett Stainless Steel Electric Kettle,Home Appliances,Small Kitchen Appliances,Kettles & Air-Pots,4.4,"2,100","5,200",,170,369,,,54,0,,"Metro Manila, Metro Manila",18,,No Brand,movall,"185,900",,61,within minutes,3 years ago,"139,500","Metro Manila, Metro Manila",1,0,0,,1,1,"1,500",,114,48,145,,,"The inner cover is steel design, safe and securThe high-quality stainless steel spout, prevent scale into the cup to ensure clean waterThe non-slip grip, soft touch, comfortable angle, to prevent the hand slidingA key switch to boil water,sensing the water boil then close the power automaticallyThe unique texture luster, high-quality food grade stainless steel, safer and easier to cleanIntelligent temperature control system, close the power automatically after the water boil,save worry and securityYou can Twining the wire under the chassis,better storage power cord to avoid damageThe unique anti-scald protection effect. the surface temperature of the kettle is 20 °C-30 °C. avoid scalding your hand.Boiling water  just needs 5 minutes#COD #kettle #scarlett #scarlettkettle #electrickettle #scarlettelectricheatkettle"
https://shopee.ph/Scarlett-professional-electric-whisks-hand-mixer-i.50114197.979234272,0,0,Scarlett professional electric whisks hand mixer,Home Appliances,Small Kitchen Appliances,"Blender, Juicer, & Mixer",4.6,"14,900","34,800","8,900",175,390,,,55,0,,"Metro Manila, Metro Manila",3,,No Brand,obsl.ph,"117,800",,91,within minutes,34 months ago,"86,700","Metro Manila, Metro Manila",0,1,0,,1,1,"9,900","1,200",522,218,351,"4,500","2,800","Egg beater, electric household mini electric cream cream mixer, hand-held egg mixer, egg beating machine.#shopeeph #freeshipping #cod #fashion #bag #dress #art#cosmetic #smartwatch #mobiles #watchThere is also a cake squeezer cake decoritor"
https://shopee.ph/WJF-foldable-football-ufo-E27-40W-LED-360-degrees-light-bulb-i.26346925.4348170923,0,0,WJF foldable football ufo E27 40W LED 360 degrees light bulb,Home Appliances,Cooling & Heating,Wall & Ceiling Fan,4.9,,"3,500",,95,298,,,68,0,,"Metro Manila, Metro Manila",3,5,No Brand,grocerysale.no1,"513,600",,88,within hours,3 years ago,"570,400","Metro Manila, Metro Manila",0,0,0,,1,1,,,13,5,16,,,Quike detailsproduct name:foldable football led bulbpower:40Wlight source:led 5730*120LEDshe’ll material:ABS+PP plasticbeam angle:E27lamp luminous flux(lm):3400-3600lmCRI(RA>):80working lifetime(hour):50000
https://shopee.ph/MAYJAM-10ML-Lavender-eucalyptus-lemongrass-sweet-orange-patchouli-essential-oil-for-diffuser-oil-aromatherapy-i.174588823.6539234815,1,0,MAYJAM 10ML Lavender eucalyptus lemongrass sweet orange patchouli essential oil for diffuser oil aromatherapy,Home Appliances,Humidifiers & Air Purifiers,Humidifier Oils,4.8,,"2,600",,49,413,,551,91,0,,"Metro Manila, Metro Manila",0,,No Brand,dlspph.ph,,,86,within hours,14 months ago,,23763,1,0,0,"Lavender,Jasmine,Eucalyptus,Vanilla,Peppermint,Sandalwood,Frankincense,Sweet Orange,Ylang Ylang,Lemon,Rose,Bergamot,Tea Tree,Clove,Lemongrass,Patchouli,Rosemary,Geranium,Citronella,Cinnamon",0,0,,,14,3,4,,,"Description:No additive, no fillers, just essential oil. Perfect Essential Oils set for diffusers, humidifiers, Oil Burners, Spa and Air Purifier.Each essential oil comes with 10ml amber brown bottles. This will keep the oils fresh and help against light degradation.Wonderful Essential oils gift set option,which is fashion enough and would be wonderful to send it to family or friends.Benefits of diffusing essential oils:1.Clears the air of dust and bacteria2.Opens the airways3.Affects mood4.Absorbed easily by the bodyHow To Use:There are many ways to use Essential Oils, here are just a few:Bath - Adding a few drops of essential oils to your bath creates a heavenly, natural and pure aroma, and is proven to be a highly effective way to get the most out of essential oils.Massage -  These essential oils are strong, so please do not use them directly on your skin. Adding a few drops to a carrier oils (such as Grapeseed oil), and then massaging it on to your forehead, palms, neck, back, feet or other areas.Others - Other popular ways apart from the above include diffusers, car air fresheners and in steam / saunas and so on.Reminder:For external use only.Keep tightly sealed.Store in a cool, dry place.Avoid contact with eyes.Discontinue if irritation occurs.Keep out of reach of children.If pregnant or nursing, consult your doctor before use.Package includes:1 x  10ML Essential Oil"
